Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address,Salary_Min,Salary_Max,Salary_Average
Collabera Technologies ,Data Scientist, Minimum of 45 years experience with the standard data science stack  Python Numpy Pandas ScikitLearn Scipy matplotlib NLTK etc Familiarity with some of Keras Tensorflow Theano R CC Java Hadoop or Spark a plus , Experience in relevant area of scientific disciplines eg machine learning numerical methods signal processing statistics mathematics and optimization a plus Ability to function in Linux operating system and development environment ,Senior Executive,Contract,Information Technology,Paya Lebar Square 60 Paya Lebar Road 409051,6000.0,7800.0,6900.0
Connectedlife ,Data Scientist,ConnectedLife is looking for a committed and energetic individual to join us as Data Scientist as part of its product development and research and development process for its Smart Living and Healthcare solutions The ideal candidate is adept in handling large data sets to develop ML models for product development and process optimization in our research areas He  She must have strong experience using a variety of MLdata miningdata analysis methods using common data tools building and implementing models usingcreating algorithms and creatingrunning simulations They must have a proven ability to drive business outcomes with their databased insights They must be comfortable working with biomedical IoTsensor data together with a international team A plus is prior experience with time series data,ROLES AND RESPONSIBILITIES  Mine and analyse data for different kind of biomedical research and make meaningful inference through machine learning methods Assess the effectiveness and accuracy of new data sources and data gathering techniques Develop custom predictive data models and algorithms to apply to data sets Use predictive modelling to increase and optimize customer experiences revenue generation ad targeting and other business outcomes Develop processes and tools to monitor and analyse model performance and data accuracy Codevelop and maintain our data security  privacy strategy   KEY QUALIFICATIONS  Strong problem solving skills with an emphasis on product development Experience using statistical computer languages R Python SLQ etc to analyze data and draw insights from large data sets Experience working with and creating data architectures Basic Experience in DevOps preferably familiar with MS Azure Knowledge of a variety of machine learning techniques clustering decision tree learning artificial neural networks etc and their realworld advantagesdrawbacks Knowledge of advanced statistical techniques and concepts regression properties of distributions statistical tests and proper usage etc and experience with applications Excellent written and verbal communication skills for coordinating across teams A drive to learn and master new technologies and techniques  TECHNICAL REQUIREMENTS  Experience with large data sets and building statistical models Coding knowledge and experience with several languages Python R C C Java JavaScript etc Knowledge and experience in statistical and data mining techniques GLMRegression Random Forest Boosting Trees text mining social network analysis etc as well as DL methods CNN LSTM Generative Models Experience querying databases and using statistical computer languages R Python SLQ etc Experience using web services Redshift S3 Spark DigitalOcean etc Experience creating and using advanced machine learning algorithms and statistics regression simulation scenario analysis modelling clustering decision trees neural networks etc Experience analysing data from 3rd party providers Google Analytics Site Catalyst Coremetrics Adwords Crimson Hexagon Facebook Insights etc Experience with distributed datacomputing tools MapReduce Hadoop Hive Spark Gurobi MySQL etc Experience visualizingpresenting data for stakeholders using Periscope Business Objects D3 ggplot etc ,Manager,Permanent,Engineering Environment  Health   Healthcare  Pharmaceutical Information Technology Telecommunications,Mapletree Business City 20 Pasir Panjang Road 117439,6000.0,8000.0,7000.0
Untangle Ai ,Data Scientist,We are looking to hire the best Data Scientists in the world If you have a passion for technology AI and deep learning  this is an opportunity to work with great people in a great company Learn from the top computer scientists in Asia and get hands on experience developing directly with clients Be part of a game changing team and help developer the future of AI Responsibilities   The Data Scientist position is to carry out cutting edge research and development in building and deploying models both internally and to our clients specifications This involves solving incredibly hard problems in AI and transforming those solutions in to world class products This role covers a wide range of challenges from enhancing our core deep learning methods to RD in AI to working directly with our customers to solve unique problems in their environments Your primary responsibilities are  Plan develop and deploy models for our clients environments Train models and design inference systems across all data types Learn from senior engineers and implement solutions rapidly Work closely with other engineers to transfer research prototypes to production systems Propose new methods of discovery optimisation or architectures Reproduce lead research papers ,   BSc or Master in Computer Science with experience in Deep learning Computer Vision and Machine Learning Track record of solving industry problems through novel algorithms and innovation Strong understanding of model architectures of Deep Neural Networks Gradients Activation Paths Activation Functions etc Strong understanding of building blocks of statistics  probability Covariance Canonical Correlation Markov Chains Brownian Motion Autocorrelation Partial Autocorrelation Bayesian optimisation Hypothesis testing etc Strong understanding of statistical learning techniques Classification Regression Clustering metrics structured learning probabilistic graphical models Selfreliant able to work independently and accept responsibility for projects Fast prototyping skills including comprehensive feature integration during all cycles of development Strong understanding of Databases and SQL Strong understanding of parallel processing using OpenMP Good business knowledge of Supply ChainDomain  Willingness to learn and experiment with a passion for technology Fluent in both written and spoken English Experience with C Python Caffe Torch and Tensorflow    Nice to Haves  Experience with adversarial models within Deep Learning especially Generative Adversarial Networks Understanding of systems analysis Phase portraits impulse response filters etc Publications in top computer visiondeep learning conferences and journals Contribution to major deepmachine learning open source libraries ,Entry Level,Permanent,Information Technology,32 Carpenter Street 059911,5000.0,7000.0,6000.0
Observational And Pragmatic Research Institute ,Data Scientist,The Company OPRI is an academic research institution striving to improve the lives of patients through global research OPRI has been leading the paradigm shift in real world evidence for the past 12 years by delivering pragmatic clinical trials disease registries and database research The Role We are looking for a Data Engineer to work alongside our research statistical and database teams in the UK Singapore and Australia Brisbane In this position you will gain invaluable experience within an internationally recognised research organisation involved in analysis and dissemination of data from largescale observational studies and pragmatic randomised controlled trials The successful candidate will have high attention to detail strong time management skills and most importantly experience in the management and engineering of relational databases Your responsibilities  Design construct install test and maintain data collection and management systems     Integrate data management technologies and software engineering tools for custom data collection applications Programming knowledge Employ a variety of languages and tools eg scripting languages to combine systems together Ensure seamless integration of data across multiple databases       SQL queries   Building APIs for data consumption Integrating external or new datasets into existing data pipelines Continuously monitoring and testing the system to ensure optimized performance   Build and maintain data collection platforms for specific organisational projects     Set up automated integration processes for Patient Reported Outcomes into various data collection platforms   EMREDC integration with Registry Database     Data collected via Registry EDCs to be uploaded into EMRs Data collected via site specific EMRsEDCs to be uploaded into Registry EDCs    The role is for a permanent fulltime position Salary is dependent on qualifications and experience Immediate start is available,Qualifications  Bachelor degree in Computer Science Engineering Maths or equivalent qualification  Required Experience  Strong working knowledge of SQL Essential Experience working with large databases  Preferred Experience  Experience of developing and maintaining data dictionaries for databases Knowledge of statistical analysis tools eg R STATA SPSS SAS Interest and knowledge of epidemiology public health and clinical research ,Junior Executive,Permanent,Engineering Information Technology,Southbank 883 North Bridge Road 198785,3000.0,6000.0,4500.0
Grabtaxi Holdings ,Data Scientist,Get to know our Team Grabs Data Science Department works on some of the most challenging and fascinating problems in transport logistics economics and the space around We apply deep learning geospatial data mining simulation forecasting scheduling optimization and many other advanced techniques on our huge datasets to push our business metrics to their bounds directly and indirectly We foster a culture where we enjoy raising the bar constantly for ourselves and others and that strongly supports the freedom to explore and innovate   Sample of problems the Data Science Department solve  Intelligent allocation machinedeep learning  based predictions all sorts Dynamic pricing Supplydemand forecasting and positioning Incentives and promotions optimization Carpooling matching Shuttle and ondemand bus routing and scheduling Multimodal transport Geospatial data mining etc   The Machine Learning team at Grab provides an opportunity to apply supervised as well as unsupervised learning on large scale data We build algorithms and models to match passenger and driver we predict time of arrival we predict when a driver will churn ie stop driving for Grab etc We explore models ranging from simple linear ones to ensembles to deep learning If you enjoy predictions and algorithms lets have a chat  Get to know the Role  Build validate test and deploy machine learning models eg predictive forecasting clustering using proven and experimental techniques Deploy an online learning model where applicable Define hypotheses develop and execute necessary tests experiments and analyses to prove or disprove them Translate data speak to human speak by effectively conceptualizing analysis to team members and business stakeholders   The daytoday activities  Develop creative algorithms by employing machine learning and data mining techniques Contribute to teams innovation and IP creation     ,The must haves  PhD graduate or Masterswith at least 3 years of experience in Computer Science ElectricalComputer Engineering  Operations Research or MathematicsStatistics Understanding of machine learning deep learning data mining algorithmic foundations of optimization Experience with machine learning framework scikitlearn Spark MLlib etc Proficient in one or more of the following programming languages Python R Scala Experience in building ML models at scale using realtime big data pipelines on platforms such as SparkMapReduce Familiar with noSQL postGIS stream processing and distributed computing platforms Selfmotivated independent learner and willing to share knowledge with team members Detailoriented and efficient time manager in a dynamic and dynamic working environment ,Professional,Permanent,Information Technology,Oue Downtown 6 Shenton Way 068809,11000.0,15000.0,13000.0
Oversea-Chinese Banking Corporation ,Data Scientist, Develop data science solutions to support AML and Financial Crime Investigation activities in the organization Design analytical solutions and experiments Conduct data exploration feature engineering visualization and develop models Be a thoughtleader and drive innovation within the organization , Degree in a quantitative subject eg Computer Science Statistics Mathematics Artificial Intelligence Machine Learning or related field Minimum 5 years of working experience with AI ML Data Science or a related field Strong proficiency in at least one programming language Experience with Python preferred Experience in applying machine learning techniques and designing algorithms that are scalable and productiongrade Clear communicator with the ability to articulate ideas with data Experience with operating in a corporate environment and stakeholder management Strong results driven personality with an innovative spirit  Preferred  Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous though not required   ,Professional,Permanent,Banking and Finance,63 Chulia Street 049514,8000.0,15000.0,11500.0
Green Light Professional Services (Singapore) ,Data Scientist,  Green Light Asia is committed to building a great business with great people We reward our team members with competitive salaries and benefits We are looking for professionals who are as passionate about our projects as we are We are currently looking for experienced  Data Scientists  The work will involve the following  Implementation  end to end deployment Analysing business problems and developing the solutioning to address them Advanced analytics using machine learning princples ,The ideal candidate will have many of the following attributes   2 years of relevent industry experience   Machine learning development skills   Proficient in Spark Python  R   Production and deployment of Machine Learning solutions experience Education PhD preferred but a relevant Masters  Post Grad in a STEM subject Maths  Stats  Computer Science  Modelling  Engineering etc may suffice Preferred Professional Skills  Good comms Proactive Selfmotivated Good Team Player ,Professional,Permanent,Information Technology Telecommunications,Undisclosed,6000.0,10000.0,8000.0
Ernst & Young Advisory ,Data Scientist,We are the only professional services organisation who has a separate business dedicated exclusively to the financial services marketplace Join Financial Services FSO and you will work with multidisciplinary teams from around the world to deliver a global perspective Aligned to key industry groups including asset management banking and capital markets insurance and private equity we provide integrated advisory assurance tax and transaction services The opportunity  EYs Performance Improvement Advisory professionals bring a wealth of experience in working with major financial institutions to align their operating model and infrastructure to their business strategic objectives We assemble the right multidisciplinary teams use consistent and proven global methodologies and tools and draw on the full breadth of EYs global network to deliver value and trusted advice to the clients The key service offerings cover finance function transformation customer and distribution effectiveness operations shared services  outsourcing support performance management program advisory enterprise intelligence risk management and regulatory change,Your key responsibilities The Enterprise Intelligence EI team works collaboratively with our clients to manage engagements and lead teams of data analysis resources in all aspects of design and delivery of information solutions The needs of our clients are driven by global trends such as big data cloud computing disparate data volumes and the increased complexity of data structures You will support in the implementation of solutions related to core EI competencies of Analytics Business Intelligence Enterprise Performance Management and Information Management And also assist in the delivery of quality deliverables working and communicating effectively with the engagement team and clients team to ensure exceptional performance Skills and attributes for success  Good understanding of economic or market issues and the ability to interpret their impact on clients Leverage technology to continually learn improve service delivery and maintain our leading edge best practices Strong presentation skills and proficiency in the use of PowerPoint Word and Excel  To qualify for the role you must have  Minimum 8 years data and analytics experience including business intelligence data mining modeling and using predictive analytics tools Including 4 years of applicable FSO experience Masters degree in Math Statistics Actuarial or related field Requires very strong abilities in problem solving including managing data mining and cleansing with broad knowledge of economics optimization machine learning and database science Strong knowledge of working with data mining tools such as R SAS SPSS Prior experience working with data and analytics programs through lifecycle gathering data design recommendations testing implementation communication revisions Strong analytics and problemsolving capabilities required including advanced skills in statistical analysis  Ideally youll also have  Strong communication and business relationship skills to effectively explain analysis both verbally and in writing to others and translate analysis into a clear business plan Strong time management and organizational skills to gather and make use of data both internal and external  What we look for Highly motivated individuals with excellent problemsolving skills and the ability to prioritize shifting workloads in a rapidly changing industry An effective communicator youll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization What working at EY offers We offer a competitive compensation package where youll be rewarded based on your performance and recognized for the value you bring to our business We also offer you  Support coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way thats right for you  About EY As a global leader in assurance tax transaction and advisory services were using the finance products expertise and systems weve developed to build a better working world That starts with a culture that believes in giving you the training opportunities and creative freedom to make things better Whenever you join however long you stay the exceptional EY experience lasts a lifetime And with a commitment to hiring and developing the most passionate people well make our ambition to be the best employer by 2020 a reality If you can confidently demonstrate that you meet the criteria above please contact us as soon as possible Join us in building a better working world Apply now,Middle Management,Permanent,Banking and Finance Information Technology,1 Raffles Quay 048583,8000.0,16000.0,12000.0
Biofourmis Singapore ,Big Data Engineer,We are looking for a savvy Data Engineer to join our growing team of analytics experts The candidate will be responsible for expanding and optimizing our data and data pipeline architecture as well as optimizing data flow and collection for cross functional teams The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up The Data Engineer will support our software developers database architects data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects The right candidate will be excited by the prospect of optimizing or even redesigning our companys data architecture to support our next generation of products and data initiatives Responsibility  Create and maintain optimal data pipeline architecture in AWS cloud Assemble large complex data sets that meet business requirements Identify design and implement internal process improvements automating manual processes optimizing data delivery redesigning infrastructure for greater scalability etc Build the infrastructure required for optimal ETL of data from a wide variety of data sources using SQL and AWS big data technologies Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition operational efficiency and other key business performance metrics Work with stakeholders including the Executive Product Data and Design teams to assist with datarelated technical issues and support their data infrastructure needs Keep our data secure across national boundaries through multiple AWS regions Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader Work with data and analytics experts to strive for greater functionality in our data systems ,  Advanced working SQL knowledge and experience working with relational databases  Strong analytic skills related to working with unstructured datasets Experience building and optimizing big data data pipelines architectures and data sets Build processes supporting data transformation data structures metadata dependency and workload management Working knowledge of message queuing stream processing and highly scalable big data data stores Strong project management and organizational skills Experience supporting and working with crossfunctional teams in a dynamic environment 5 years of experience in a Data Engineer role with degree in Computer Science Statistics Informatics Information Systems or another quantitative field  ,Senior Executive,Permanent,Engineering,Vision Exchange 2 Venture Drive 608526,5200.0,6700.0,5950.0
Cisco Systems (Usa) ,Senior Data Scientist,    What Youll Do As a Data Science Manager you will  Identify opportunities to impact Ciscos strategy operations and execution with data science insights Lead complex analytics programs working with multifunctional teams Be the problemsolver and catalyst that will help business teams make better decisions using Data and Analytics Bring an interdisciplinary skillset of Applied Math Technology and Business Lead mentor and grow a team of data scientists Lead teams of data scientistsanalysts to design build and operationalize models using the latest in AIML techniques to deliver meaningful solutions Develop Data ProductsServices across Descriptive Inquisitive and Predictive Analytics to improve business processes and drive tangible business outcomes Guide the team to make the right technical tradeoffs to meet long termshortterm business needs Above all come with a curious mind and a passionate learning mindset  Who Youll Work With We are building a bestinclass team of passionate result oriented problem solvers with the aim of enabling better datadriven decisions and thereby creating business impact We operate as a startup work hard learn every single day focus on doing measurable and impactful work and have lots of fun along the way,Who You Are Do you thrive in a multitasking rapid prototyping and agile development environment You bring the ability to draw conclusions from data and recommend actions Good interpersonal skills are an important part of what you bring to this role Our minimum requirements for this role  BSBA in an analytical or technical field eg Math Statistics Data Science Computer Science Operations Research Physics or Engineering  MS with a strong Quantitative focus preferred 8 years of industry experience in Advanced AnalyticsData science Consulting experience especially analytics consulting a plus 2 years of direct report leadership experience of analytical teams with a record of producing successful data science solutions that deliver benefit to business You are skilled at defining problem statements breaking down complex or fuzzy business problems into analytical questions quantifying the impact to the business synthesizing data to tell the story and recommending solutions Ability to manage multiple projects and execute to aggressive timelines Passion for leadershipmentorship of team members Excellent statistical understanding and experience with ML algorithms including regression clustering classification decision trees time series forecasting neural networks deep learning etc Experience with Python R SQL languages in analytical contexts Experience with large data sets and distributed computing data warehousing data integration and ETL tools eg Teradata Hadoop Hive Spark SAP HANA Understanding of tools and infrastructure needed to support data science efforts  Bonus for cloud technologies eg Google Cloud Platform AWS Azure Experience with visualization tools eg D3 Angular Shiny Tableau Qlik Data Studio etc  Why Cisco At Cisco each person brings their unique talents to work as a team and make a difference Yes our technology changes the way the world works lives plays and learns but our edge comes from our people  We connect everything  people process data and things  and we use those connections to change our world for the better We innovate everywhere  From launching a new era of networking that adapts learns and protects to building Cisco Services that accelerate businesses and business results Our technology powers entertainment retail healthcare education and more  from Smart Cities to your everyday devices We benefit everyone  We do all of this while striving for a culture that empowers every person to be the difference at work and in our communities  Colorful hair Dont care Tattoos Show off your ink Like polka dots Thats cool Pop culture geek Many of us are Be you with us WeAreCisco Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race color religion gender sexual orientation national origin genetic information age disability veteran status or any other legally protected basis Cisco will consider for employment on a case by case basis qualified applicants with arrest and conviction records  ,Professional,Permanent,Information Technology,One Marina Boulevard 1 Marina Boulevard 018989,14166.666666666666,19166.666666666668,16666.7
Cartrack Technologies South East Asia ,Junior Data Scientist,Cartrack is looking for candidates that can join our growing team as a Lead Data Scientist  We are creating revolutionary platforms that will change the industry  Were on track to reach 1 million subscribers soon and are seeking passionate people with relevant experience to help deliver worldclass software solutions to our clients  To be successful in this position the candidate must work well in a fastpaced environment with likeminded engineers that have a desire to build incredible data platform in a fast efficient and scalable manner You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automotive industry across Fleet Management Asset Management and Insurance Telematics solutions   You are  Data Science who can develop differentiated capabilities in spatial and temporal data management eg Location Intelligence Mobile data analytics spatial data cleaning visualization and interactive queries to establish our competitive advantage   You will  Drive Spatial data management applied research and develop core parallel algorithms and processes to bring Cartracks technology assets into big data platforms include but not limit to Hadoop Spark Develop and scale the solutions to fullproduction grade Work with clients to design and develop data oriented advanced solutions especially in the areas of location intelligence data quality spatial integration Spatial data queries and data visualization Work with product managers and engineers to develop product roadmap and iterate minimum viable products to validate needs with real clients     ,Your background As a Data Scientist you have  Strong background in algorithm design and implementation research experience with geospatial related algorithm design is a plus Deep expertise in Big Data technologies such as Hadoop Spark and NoSQL databases experience with parallel and distributed computing is a plus Strong programming skills in Java and Scala experience in functional programming is preferred ,Executive,Permanent,Information Technology,International Plaza 10 Anson Road 079903,6000.0,9000.0,7500.0
Facebook Singapore ,Data Scientist,Facebook is seeking a Data Scientist to lead our Ads from China product team Were looking for someone who is passionate about digital advertising product development and hyper growth The job is to be the data eyes and ears guiding the product team Ads from Chinas mission is to connect every business in China with people around the rest of world This position is fulltime and based in our Singapore office,Responsibilities  Defining new opportunities for product impact Influencing product and sales to solve the most impactful market problems  Apply your expertise in quantitative analysis and the presentation of data to see beyond the numbers and understand how our users interact with our growth products  Work as a key member of the product team to solve problems and identify trends and opportunities  Inform influence support and execute our product decisions and product launches  Set KPIs and goals design and evaluate experiments monitor key product metrics understand root causes of changes in metrics  Exploratory analysis to discover new opportunities understanding ecosystems user behaviors and longterm trends  Identifying levers to help move key metrics  Minimum Qualifications  6 years experience doing quantitative analysis preferably for a web or mobile company  Fluency in SQL  Core statistical knowledge  Proven experience leading datadriven projects from definition to execution defining metrics experiment design communicating actionable insights  Able to mentor and guide junior data scientists  Experience leading analytics teams  advantage  Python R or any other scripting language  advantage ,Professional,Permanent,Advertising  Media ,Marina One West Tower 9 Straits View 018937,9000.0,14000.0,11500.0
Clariant (Singapore) ,Data Scientist, Ensures planning and execution of projects with data science as key element Ensures optimization product developments by statistical  model supported DOE and by data mining Develop applications for automated data base access analytics and control Ensure highest industrial standards in data based optimization and simulation Ensure lean and effective approaches for the implementation in Clariants business units and services Develop data science based services of business unit applications to support new business models Actively check opportunities for public funding to expand competence Train people within Clariant to apply Data mining tools Perform cross business unit knowhow exchange in the field of data science expert circle participation , Master PhD Chemical engineering Computational engineering Business informatics Project experience in data mining optimization or algorithm design Knowledge of chemistry chemical production or business processes in chemical industry Application experience of modern tools for process or data mining experience in high programming suites Python R Statistica Simca ,Middle Management,Permanent,Manufacturing Others,The Synergy 1 International Business Park 609917,5000.0,8000.0,6500.0
Streetsine Singapore ,Junior Data Analyst,Junior Data Analyst Job Description Description StreetSine TechnologySingapore Real Estate Exchange SRX is a digital analytics company  specializing in Singapore and Hong Kong real estate Its data offerings analytic products and consultancy are well recognized and are widely used in the real estate industry and government organizations We are expanding regionally and are currently looking for a Data AnalystData Scientist in training to be part of our Business Analytics team You will be part of the Data  team honing your skills to be a full fledged Data Analyst by working closely with the Head of Data and other stakeholders to 1 Initiate rapid studies and implement algorithms and methods to take business advantage of new information and data 2 Implement various computational techniques to support Descriptive Predictive and Image analytic assignments 3 Implement data quality improvement strategies 4 General data administration  ,Job  Expected Competencies A fast adaptive yet meticulous learner having the following qualities 1 Data Analytic Skills Quickly develop an understanding of the real estate domain recognizing major stakeholders in the industry recognize problems its stakeholders are solving exploiting opportunities in the industry and understanding real world data issues 2 Technology Understanding Being able to translate business problems into something solvable by technology and computational methods at the same time understanding their respective strengthsweaknesses and tradeoffs 3 Technical Competency High coding standards understanding efficient program design and optimization methods   Diploma in any quantitativecomputational discipline  Comfortable in Linux or similar Unix systems or willing to learn  Experience in MySQL and similar Database querying languages  String Experience in one andor many of these languages Python Perl R Bonus points for more  Bonus Points for knowledge and experience in Java   Salary Range is 3500 to 4500 per month Fresh grads may apply  ,Junior Executive,Permanent,Information Technology,News Centre 1000 Toa Payoh North 318994,3500.0,4500.0,4000.0
Company Undisclosed,Data Scientist,Who We Are  We NS Solutions Asia Pacific NSAP together with NS Solutions Japan provides IT consulting and professional services primarily to financial industry Distinguishing ourselves from a conventional IT company we have long standing of relationship with major banking customers with strong track record of indepth industry knowledge and rich experience of implementing largescale enterprise systems NSAP strengthens financial IT services through Project Planning and Promotion consulting and implementation in Financial Regulation and IFRS arena and financial data analysis as pivotal pillars of our business growth As expanding the professional services to financial customers beyond Singapore we are looking for talented energetic and versatile staff to accelerate our business Check our corporate web site for more information httpsglobalnssolnipponsteelcomsg NS Solutions the parent company is one of the largest information technology company in Japan with more than 6000 professional staffs serving IT consulting and system development for a wide range of customers manufacturing finance retail telecom and government sector  Key Responsibilities  Interact with business technology and senior management stakeholders to define business issues identify necessary data from internalexternal sources to be analysed Conceptualise business problems and solving them through data analysis Identify and collect structured and unstructured data from multiple data sources to analyse and generate meaningful insights Analyze large amounts of data to discover trends and patterns using market leading machine learning software Finetune solution by working with business stakeholders including documentation of the data features definitions and associated metadata Perform data mapping cleansing data quality checks and verification of data integrity to ensure the data set is properly and accurately sorted out to address business issues Responsible for running Proof of Concept PoC project to analyse data by using Machine Learning Software and techniques to develop models that brings values to business Clearly communicate complex analysis findings through presentation and documentations to technical and nontechnical stakeholders ,Job   Minimum 3 years of experience in data management applications such as business intelligence management information systems as Data Scientist or Data Analyst Experience of working with large data set using Machine Learning Algorithms Traditional or Deep Learning Data Mining Advance Analytics and Data Visualisation Knowledge of advanced machine learning algorithms and statistics regression simulation scenario analysis predictive modelling correlations pattern analysis etc Deep knowledge of data science best practices to explain proposed data model strength and weaknesses Having industry expertise background from one of the followings is preferable Financial bank insurance leasing Manufacturing Telecommunications and Retail Traveling within ASEAN region may be required  Skills and Competencies  BachelorMaster degree with major andor specialisation in Statistics Mathematics Computer Science or Information Management is preferred Visualisation QlikView Tableau Cognos SAP Business Objects regarded as an advantage Programming Language R Python SAS and SPSS regarded as an advantage Experience of SQL languages for data orchestration manipulation and optimization is preferable Strong attention to detail with clear verbal and written communication skills ,Manager,Permanent,Information Technology,Undisclosed,7000.0,9000.0,8000.0
Amaris Consulting ,Data Scientist, Apply data analysis machine learning predictive modeling statistics visualization and other data science techniques to derive actionable insights Work with large volumes of data extract and manipulate large datasets using tools such as Hadoop Ecosystem Apache Spark through scripting in Python SQL Hive etc Develop create and implement databased products and processes to add business value for internal and external customers Identify new data sources drive collection of data and identify use cases for existing data sources Document steps and data sources and ensure that models and processes are easily understandable and maintainable Document steps and data sources and ensure that models and processes are easily understandable and maintainable , Bachelors Degree in Computer Science or related field with experience and demonstrable work in machine learning Strong algorithm design and coding skills in at least one of major programming languages like Java CC Python 3 years of working experience in the Telecom BSSOSS Selfmotivated selfdiscipline and good communication skills ,Non-executive,Permanent,Information Technology,Robinson 112 112 Robinson Road 068902,4500.0,6500.0,5500.0
Singapore Technologies Engineering Ltd,Data Scientist,Job Description  Work in Strategic Technology Centre to deliver data analytic solution to customersusers solutions range from Descriptive Diagnostic Predictive Prescriptive to Machine Learning and AI in developing data models with algorithms for big data analytics    Develop hardcore data science techniques into algorithms for DA with MLAI capabilities        ,      Prefer a Masters Degree or PHD in ScienceEngineeringMathematics with at least 23 years of working experience in data analytics       Indepth technical knowledge in either 1 Operational Research 2 Computer Network 3 Computer Vision 4 Fluid Dynamics 5 Engineering Mechanics 6 VideoImage Processing 7 AI and Neural Network 7 Geometry and Topology 8 Social  Cognitive Computing is a plus      Good experience with endtoend data profiling mathematical modeling testing validation algorithm visualization  ideation and solutioning      Experienced in MySQL Python Matlab Java or C      Knowledge of Hadoop and Spark highly essential in the age of Big Data  ,Senior Management,Permanent,Sciences  Laboratory  RD,St Engineering Hub 1 Ang Mo Kio Electronics Park Road 567710,5000.0,12000.0,8500.0
A*Star Research Entities,"Scientist (Data Analytics), I2R / A*Star",About the Institute for Infocomm Research I²R The Institute for Infocomm Research I²R is a member of the Agency for Science Technology and Research ASTAR family and is Singapores largest ICT research institute Our strategic thrusts are in the spheres of intelligence communications and media and our research capabilities are in shared sensor networks publicpublicpublicprivate datasharing platform big data analytics and visualization solutions For more information about I2R please visit wwwi2rastaredusg We are looking for a data scientist who can contribute on data analytics research projects Researchers with expertise in the areas of natural language processing text mining deep learning machine learning andor knowledgebased data analytics are welcome In particular we may collaborate with the successful candidate to establish research milestones in applying deep learning for natural language processing andor in synergistically integrating text analytics with other data analytics eg vision audio financial data user profiles geotemporal data knowledge base for heterogeneous data analytics Job Responsibilities  Deliver results Develop new technologies improve performance Demonstrate longterm vision while effectively supporting shortterm goals   ,   PhD in computer science or related topics Being an excellent team player Good interpersonal and communication skills  The above eligibility criteria are not exhaustive ASTAR may include additional selection criteria based on its prevailing recruitment policies These policies may be amended from time to time without notice We regret that only shortlisted candidates will be notified,Professional,Contract,Sciences  Laboratory  RD,Uob Plaza 80 Raffles Place 048624,4500.0,9000.0,6750.0
Azendian Solutions ,Data Scientist,We are the data people Everything we do center around data We manage data use them and prepare organisations to transform their culture and operations towards a data and insight driven approach And now we are starting a Smart Buildings division Our vision is to use data science to bring buildings into the 21st century Our products and services aim to manage energy costs generate insights for the facilities team and make every experience in a building seamless Were looking for a Data Scientist to join our Product Development Team and spearhead all data science activities related to developing products for our softwareasaservice platform Responsible for overseeing the data science team the successful candidate manages the full lifecycle of the process of question formulation design research and development implementation and testing The current team is comprised of 3 machine learning engineers who are keen to be led and mentored by the successful candidate  The raw data can be a mixture between categorical and time series data with problems ranging from realtime optimization to analyticsdescriptive product solutions As a Data Scientist with Azendian you will have a chance to make a global impact as the application of data science in this domain is still at its infancy, Lead all RD direction for product development Work with stakeholders to understand the business case and provide input Manage endtoend lifecycle of building and validating models Identify desiredrequired dataset and data sources Provide input into the development of backend systems Guidance and mentoring for team members    3 years of experience in manipulating data and developing models and algorithms Experience in writing production grade algorithms Demonstrated expertise in Machine Learning and Optimization especially time series data Proficiency in applying advanced statistical techniques  Demonstrated expertise in practical data processing data mining and information retrieval tasks Experience working in crossfunctional team environment Excited to gain knowledge in a new domain Strong intellectual curiosity and a passion for solving high impact realworld problems Excellent communication leadership relationship skills and a strong team player ,Manager,Permanent,Information Technology,Undisclosed,8000.0,16000.0,12000.0
