,Company,Title,Salary_Range,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
509,Company Undisclosed,FP & A Manager,,"Roles & ResponsibilitiesThis role reports to the FP+A Director, Asia based in Singapore. A key member of the APAC FP+A team, providing financial analytics and modeling support to senior management. Responsibilities include but not limited to: Lead the forecast & budgeting cycles for Asia Pacific; performs financial analysis; provides monthly management results review; identifies and drives process productivity improvements and supports project initiatives as needed. In addition to the APAC FP+A responsibilities, this position holds a dual role as Business Finance Partner to an assigned APAC Business Unit. This role will principally provide analytical and strategic partnership to the BU leader for both commercial and operations aspects of their respective businesses. Financial Planning & Analysis, APAC  Co-ordinate the various actual / planning cycles for Pall APAC (monthly outlooks/quarterly forecast/ annual budget) Develop, design and produce ad-hoc reports and analytic models to support Operations & BU objectives Prepare consolidated monthly financial commentary to be shared with BU & Country Management & Senior Management (Monthly Business Reviews) Provide in-depth and timely analysis of key performance indicators including all areas of revenue, cost of sales, expenses and capital expenditure. Conduct analysis of financial performance gaps, determine root causes, and drive countermeasures and gap closing actions. Leverage common system platforms, e.g. SAP, BI, Hyperion, Qlikview etc and develop reporting models to support business requirements. Participation in various business improvement/ad hoc projects. Participate in finance’s transformation initiatives.  Finance Business Partner to VP Business Unit, Asia (Scope – BU business partnering)  Being objective and strategic financial partners, leading collaborative cross-functional effort to drive relevant, flexible and efficient financial planning and analysis that supports key business decisions. ","Requirements Undergraduate Degree in Finance, Accounting, Economics or Statistics Minimum 5-6 years’ experience in Financial Planning & Analysis roles Competent in Advance Microsoft Excel and powerpoint Articulate with excellent logic and reasoning skills; solid influencing skills Ability to think creatively, highly-driven and self-motivated A self-starter who is adaptable, resourceful and systems savvy. Can work under short deadlines and time pressure. Confident in handling ambiguity. Clear conceptual thinking skills in order to handle large volume of data, mine data, while maintaining an appropriate overview of outcome. Strong analytical skills with the ability to unearth and structure information and clearly communicate conclusions from analysis. Good influencing and communication skills across different levels and culture ",Professional,"Permanent, Full Time","Accounting / Auditing / Taxation, Banking and Finance",
510,,,,,,,,,
511,DBS BANK LTD.,"Analyst, Financial Crime Analytics – Transaction Surveillance, Group Compliance - (WD03638)","$3,000to$6,000","Roles & ResponsibilitiesBusiness Function   Group Legal, Compliance & Secretariat ensures that the bank’s interests are protected by zealously guarding and enhancing its reputation and capital. We also work to maintain a good standing with all our regulators, customers, and business partners. Because we believe that at the heart of business banking is to uphold the values of trust and integrity for all our stakeholders.  Responsibilities   Assist in reviewing, monitoring and optimizing AML Transaction Monitoring rules for the region, balancing alert volume and risk coverage. Support in the implementation of the AML Transaction Monitoring rules and setting changes and ensure they are tested appropriately in the UAT environment prior to production implementation. Ensure extensive product and transaction coverage, as well as data quality completeness and integrity for transaction monitoring purposes. Design, create and automate new reports as well as improve on current reports and processes. Develop data models that will allow efficient analysis and reporting. Data analysis for the areas of Compliance and Financial Crime. Support on adhoc data extraction requests. ","RequirementsRequirements  Bachelor Degree or any equivalent work experience in quantitative fields (Analytics, Statistics, Computer Science, etc). Working knowledge of SQL and R, with Python as an added advantage Experience with AML behavioral detection systems Strong analytical skills with an investigative mindset Broad and in-depth knowledge in Banking products, services and data Strong interpersonal skills, professionalism and teamwork awareness Detail-oriented with excellent organizational skills A proactive approach to tasks & responsibilities An understanding of the legal and compliance issues of complex banking organizations ",Executive,"Permanent, Full Time",Banking and Finance,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982"
512,ZALORA SOUTH EAST ASIA PTE. LTD.,Financial Planning & Analytics Analyst,"$4,800to$7,300","Roles & ResponsibilitiesZALORA is looking to find the most talented FP&A Analyst to transform our data and turning it into insights that matter. Reporting to the FP&A Director, this role is based in Singapore and be responsible for the reporting and analysis, while handling a lot of data and driving results to key ZALORA Stakeholders. This is a unique, exciting opportunity to influence minds and make a positive difference to ZALORA, and to your career. The role is based in our Singapore office. Responsibilities:   Pro-actively support execution of financial planning by preparing and supporting performance and strategy meetings of relevant stakeholder Pro-actively support strategy execution by delivering meaningful, accurate and timely reporting & analysis on business performance Deliver meaningful, accurate and timely reporting & analysis on functional financial performance, thereby supporting functional MT in making fact-based, financially sound decisions. Ensures quality, accuracy and integrity of information stored in our systems, enabling a single source of truth Supports the functional leaders in adhering to their budget by means of monitoring, reporting and controlling functional projects and project (business) plans Analyzes and reports on business performance by means of : Monthly performance, product/market/customer/integral profitability Forecasting, Strategic Review, cost control, Target Setting / Remuneration, Pricing/margin analysis, etc Performs forward-looking ad-hoc analysis, such as project & strategy evaluation, benchmarking, Price/Volume mix, scenario analysis, etc Prepares, attends, minutes and keeps track of follow ups regarding performance and strategy meetings Takes initiative to bring relevant financial issues to the attention of his/her relevant stakeholders.  Understanding of Anaplan or similar ERP software ","Requirements Bachelor Business, Economics, Finance, Accounting or related study   4 years commercial experience Working experience with business planning, forecasting, reporting and analysis processes.  Working experience with cost controlling techniques/ROI mindset  Accounting knowledge with emphasis on integrity and control  Able to initiate and drive change across all levels of the organization  Progressive experience in stepping to support decision making and delegation within a finance team Natural high level of organizational sensitivity Strong analytical skills with ability to multi task Intellectual capacity to digest complex information, see trends and analysis through data Highly advanced technical skills in Excel able to analyse and manipulate large sums of data Ability to balance speed and accuracy Proven ability to make decisions independently Experience in Online, Logisitics, Fashion or other fast paced consumer oriented businesses preferred  Preference given to experience of ERP setup and/or administration",Executive,"Permanent, Full Time",Others,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315"
513,BLOOMBERG SINGAPORE PTE. LTD.,2019 Financial Product Analytics & Sales Graduate Program - Indonesian / Japanese / Thai Speakers,"$3,000to$6,000","Roles & ResponsibilitiesStart-dates: May/Aug 2019 Bloomberg is the market leader in providing high-quality data, news and analytics to professionals in business, finance and government. With over 17,000 employees in 176 locations around the world we are a truly global organization entering new markets, launching ventures and pushing boundaries. The transparency Bloomberg brings to the financial markets is integral to our culture, our offices and our interactions with one another. We're measured by the quality of our contributions, not by a title. We don't need an open-door policy- we sit in open work spaces, shoulder-to-shoulder. Who we look for You're the first of your friends to know about a major economic event. You have an appetite not only to see the world but to learn what makes it tick. You establish relationships quickly and effortlessly and have a real desire for a career in a client-facing role. You're professional and personable, intelligent and analytical. You're a solution-provider, with a passion for providing platinum customer service. Our team Analytics: On the Analytics Help Desk, our clients always come first. We provide round-the-clock support for Bloomberg Terminal users all over the world and across multiple industries. We interact directly with clients via our 'Instant Bloomberg' chat system, answering their questions and conducting training. We’re a calm voice in a busy, volatile market. Our clients rely on us to help them make better, faster decisions using the power of the Bloomberg Terminal. On any given day we respond to over 12,000 queries in more than 15 languages. The variety of the problems we solve is incredible. One moment, we could be working with a Portfolio Manager who’s worried about risk. We show him how to use the Risk Analytics platform to find the most volatile securities in his holdings. The next - we may be chatting to a trader who needs help understanding the liquidity profile of two potential investments. We teach her how to size them up against each other. Sales: In Sales, we‘re the face of Bloomberg for our clients. Equally consultative and entrepreneurial, we’re relied upon to manage existing client relationships, whilst being given the responsibility and autonomy to identify new business opportunities throughout the APAC region. We make regular visits to our clients to support and train them, discovering new business leads by making prospecting calls and networking. We work in a fast-paced, rapidly changing market and to be successful, it’s crucial we stay one step ahead, pre-empting our clients’ needs and presenting them with ground breaking solutions, before they even know they need them. Colleagues across the company depend on us to communicate new functionality and Bloomberg offerings to the market. We demonstrate how Bloomberg solutions will help our clients make the best investment/trading/business decisions, making their day to day business smoother and more profitable. What's in it for you? It’s rare to find an opportunity that gives you such early exposure to clients. You’ll begin your career in the Analytics department, where you’ll be responsible for providing the best possible user experience for our Bloomberg Terminal clients. You’ll join a comprehensive training programme, covering all aspects of the financial markets - economic principles, market players and asset classes - while teaching you all there is to know about the functionality and analytical tools the Bloomberg Terminal has to offer. Once you have spent 18 to 24 months in Analytics, benefiting from the excellent training and daily Terminal and client exposure, you will be ready to progress to the next step - a move to our Sales department. You’ll join our team of experienced relationship managers, helping to grow our business and to service our existing client base across APAC, focusing on a particular region or market sector.","RequirementsYou need to have:   Business fluency in English, Thai, Indonesian or Vietnamese  A Bachelor’s degree or relevant work experience  Demonstrated interest and the aspiration to work in the financial services industry  Strong critical-thinking and problem-solving skills  Exceptional communication skills (both written and verbal)  The aptitude to learn and adapt quickly in a rapidly changing environment  Real ambition to pursue a client-facing career, with a strong interest in relationship management and sales  We’d love to see:   Work experience in a client facing role  Interest in technology  If this sounds like you: Apply! If we think you are a good match we'll get in touch to let you know the next steps. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Bloomberg is a disability inclusive employer. Please let us know if you require any adjustments to be made for the recruitment process by emailing access2@bloomberg.net",Fresh/entry level,Full Time,Banking and Finance,"ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989"
514,DBS BANK LTD.,"VP, Financial Crime Analytics – Transaction Monitoring, Group Compliance (WD02882)","$6,500to$11,700","Roles & ResponsibilitiesBusiness Function  Group Legal, Compliance & Secretariat ensures that the bank's interests are protected by zealously guarding and enhancing its reputation and capital. We also work to maintain a good standing with all our regulators, customers, and business partners. Because we believe that at the heart of business banking is to uphold the values of trust and integrity for all our stakeholders. Responsibilities   Review and optimize AML Transaction Monitoring rules for the region, balancing alert volume and risk coverage Ensure extensive product and transaction coverage, as well as data quality completeness and integrity for transaction monitoring purposes Work in conjunction with Financial Crime Operations and Advisory to recommend segmentation, rule and scoring changes, and ensure they are tested appropriately prior to implementation Work with stakeholders on thematic AML analyses to enable stronger understanding of risks in these areas and surface any potential threats faced by the Bank Provide guidance and support and partner closely with Technology on changes or updates to the Financial Crime systems and parameters Support and respond to Audit and Regulatory issues Act as SME on the Financial Crime Transaction Surveillance system ","Requirements Bachelor Degree or any equivalent work experience in quantitative fields (Analytics, Statistics, Computer Science, etc). Working knowledge of SQL and R, with SAS, VBA or Python as an added advantage Experience with AML behavioral detection systems Strong analytical skills with an investigative mindset Broad and in-depth knowledge in Banking products, services and data Strong interpersonal skills, professionalism and teamwork awareness Detail-oriented with excellent organizational skills A proactive approach to tasks & responsibilities An understanding of the legal and compliance issues of complex banking organizati ",Manager,"Permanent, Full Time",Banking and Finance,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982"
515,DBS BANK LTD.,"AVP, Financial Crime Analytics – Transaction Monitoring, Group Compliance (WD02882)","$6,500to$11,700","Roles & ResponsibilitiesBusiness Function  Group Legal, Compliance & Secretariat ensures that the bank's interests are protected by zealously guarding and enhancing its reputation and capital. We also work to maintain a good standing with all our regulators, customers, and business partners. Because we believe that at the heart of business banking is to uphold the values of trust and integrity for all our stakeholders. Responsibilities   Review and optimize AML Transaction Monitoring rules for the region, balancing alert volume and risk coverage Ensure extensive product and transaction coverage, as well as data quality completeness and integrity for transaction monitoring purposes Work in conjunction with Financial Crime Operations and Advisory to recommend segmentation, rule and scoring changes, and ensure they are tested appropriately prior to implementation Work with stakeholders on thematic AML analyses to enable stronger understanding of risks in these areas and surface any potential threats faced by the Bank Provide guidance and support and partner closely with Technology on changes or updates to the Financial Crime systems and parameters Support and respond to Audit and Regulatory issues Act as SME on the Financial Crime Transaction Surveillance system ","Requirements Bachelor Degree or any equivalent work experience in quantitative fields (Analytics, Statistics, Computer Science, etc). Working knowledge of SQL and R, with SAS, VBA or Python as an added advantage Experience with AML behavioral detection systems Strong analytical skills with an investigative mindset Broad and in-depth knowledge in Banking products, services and data Strong interpersonal skills, professionalism and teamwork awareness Detail-oriented with excellent organizational skills A proactive approach to tasks & responsibilities An understanding of the legal and compliance issues of complex banking organizati ",Manager,"Permanent, Full Time",Banking and Finance,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982"
516,NATIONAL UNIVERSITY OF SINGAPORE,"Senior Lecturer, University","$8,500to$10,500","Roles & ResponsibilitiesDEPARTMENT OF MARKETING  NUS BUSINESS SCHOOL FULL-TIME EDUCATOR TRACK POSITIION The National University of Singapore (NUS) Business School invites applications for an educator track faculty position in the Department of Marketing.  Applicants are expected to hold a PhD degree from an accredited institution, have excellent communication skills, and sustained reputation as a highly effective educator. Preference will be given to candidates who have at least three years of teaching experience and are able to teach in the areas of digital marketing and/or marketing analytics.  The initial appointment is for a 3- to 5-year term.      ","RequirementsEducator track faculty is expected to:  Deliver modules across different degree programs. Develop new teaching materials and modules that support the department's and school's initiatives. Engage in other aspects of teaching scholarship (e.g., case/textbook writing, student project supervision). Deliver a full teaching load of 28 modular credits or equivalent to 7 full modular courses per academic year.  Person to contact: Ms Jothi S. Email: mktsec@nus.edu.sg",Professional,Full Time,Education and Training,21 LOWER KENT RIDGE ROAD 119077
517,HILTON INTERNATIONAL ASIA PACIFIC PTE LTD,"Manager, Digital and Marketing Analytics - Asia Pacific","$80,000to$150,000","Roles & ResponsibilitiesThe Analytics Team serve as consultants and strategists to key functions across the business, including Hilton's customer, marketing, digital revenue and sales organizations, with specialized support for the executive leadership team.  The team consists of both embedded subject matter experts, who serve as strategic advisors to key stakeholders, and more technical experts, who are proficient in Tableau, R, SAS and Microstrategy. The team is fully integrated within the business functions in order to ensure close partnerships and more effectively measure and drive company performance. The Analytics team main focus is to ensure data and its analysis is impactful and helps shape business decisions that drive Hilton's growth.   Manager, Digital and Marketing Analytics will be based in Singapore, and will serve as the APAC lead for the Global Marketing Analytics organization. This position will work closely with the performance team in the region, to propose marketing strategies that cater to brand, destination, and enterprise level campaigns. An ideal candidate would need to be an expert analyst who can uncover actionable insights from large volumes of data; a great communicator who can quickly pull an impactful deck together to drive a marketing decision; a proactive engager who can lead an insights sharing session with multiple ecommerce managers; and an eager learner who can listen in to a leadership meeting and provide impactful inputs. Since this position will be working across the entire marketing funnel, the candidate should have a grasp on both offline and online marketing strategies, multi touch attribution, marketing mix modeling, and marketing performance measurement techniques.     What will I be doing? The Manager, Digital and Marketing Analytics - Asia Pacific will be responsible for performing the following tasks to the highest standards:  Provide end-to-end analytics support to the VP, APAC Marketing, and the organization Leand strategic reporting as well as statistical modeling for the APAC marketing organization; co-create data-backed actionable insights Collaborate with subject matter experts, internal as well as external teams of modelers to solve complex business problems through analytics Ensure analytic approach in APAC is consistent with Global best practices Document success stories, and share key learnings with other marketing analytics team members; help define marketing analytics vision, and road-map Collaborate to embed data-backed decision making within the marketing organization Manage the shared analyst level resource, ensuring data support for EMEA and APAC marketing organization ","RequirementsWhat are we looking for? A Manager, Digital and Marketing Analytics - Asia Pacific serving Hilton Brands is always working on behalf of our Guests and working with other Team Members. To successfully fill this role, you should maintain the attitude, behaviors, skills, and values that follow:   Required Qualifications   Minimum 3 years of analytics experience supporting marketing, and/or eCommerce / Digital    Proficient in MS Excel, Word, PowerPoint and Outlook   Minimum 1 year of experience developing queries and working with data sets in SQL / Access   Has demonstrated consultative expertise, including creating & delivering management level findings and recommendations, leading to strategic decisions that impacted business performance   Familiar with project management processes   BA / BS / Bachelor's Degree   5 to 7 years of related experience   Preferred Qualifications   Familiar with MicroStrategy   Proficient in Adobe Analytics or similar digital analytics tool   At least 2 years of experience with SQL developing data models   At least 3 years of hands on experience in developing statistical models, used for predictive and prescriptive analytics   Degree or certification in Advanced Analytics   MS / MA  /Master's Degree   7+ years of related experience      What will it be like to work for Hilton? Hilton is the leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels. For nearly a century, Hilton has offered business and leisure travelers the finest in accommodations, service, amenities and value. Hilton is dedicated to continuing its tradition of providing exceptional guest experiences across its global brands. Our vision to fill the earth with the light and warmth of hospitality unites us as a team to create remarkable hospitality experiences around the world every day. And, our amazing Team Members are at the heart of it all!",Manager,"Permanent, Full Time",Marketing / Public Relations ,"CENTENNIAL TOWER, 3 TEMASEK AVENUE 039190"
518,GRABTAXI HOLDINGS PTE. LTD.,Manager  /  Senior Manager Regional Marketing,"$8,000to$11,000","Roles & ResponsibilitiesGet to know our Team:   Be part of the new founding team of Grab’s new business platform, helping to drive forward an innovative solution that is part of Grab’s overall business.   We’re a lean team of creative, data-driven and strategic thinkers, shaping the Grab brand into a loveable powerhouse in SE Asia.   We’re guardians of the Grab brand and represent the voice of the customer   We're responsible for marketing campaigns/initiatives that build consistent yet locally-relevant brand regionally.   The day-to-day activities:   Drive Go-To-Market strategy for new business expansion throughout Southeast Asia   Collaborate with in-country marketing teams to plan and develop marketing strategies to meet key business metrics.   Manage reporting and analysis across campaigns, using data to drive better campaigns through a test and learn approach   Monitor campaigns against KPI’s, and to be fully aware of trends and analytics.   Leverage insights around different use cases to drive a compelling communications narrative across the region   Build messaging narratives and acquisition strategies for growing usage demand of the business   Put in place customer-centric and behavioral-based marketing programs that drive frequency and retention   Work with our marketing analytics and consumer research teams to drive further consumer behavior insights   Manage overall marketing budget regionally   Analyze marketing spend efficiency across markets and provide recommendations for future spend allocation   Lead and develop both online and offline marketing activation strategies;   Liaise with wide range of stakeholders within and beyond business vertical teams, including product / tech, business development, data analysts, designers and business heads  ","RequirementsThe must haves:   Minimum 7 years of experience in overall marketing or similar field.   Bachelor’s degree in business administration, marketing, or other advertising subjects required.   Good knowledge and use of current media tools and channels.   Strong all-around knowledge of online marketing landscape.   Excellent communication skills with ability to articulate clearly in both written and spoken English.   Impeccable organization skills and attention to detail.   Able to work independently and willingness to roll up your sleeves to get the job done.   Passion for working across cultures and geographies.   Ability to analyse reports and communicate findings.   Excellent organizational, project management and time management skills.   Outstanding analytical skills and data-driven approach.   Ability to multitask, meet deadlines and thrive in a fast-paced environment.   Experience with startup environment is desired.  ",Manager,Full Time,Others,"OUE DOWNTOWN, 6 SHENTON WAY 068809"
519,Company Undisclosed,Head of Marketing and Digital Product Analytics,"$15,000to$20,000","Roles & ResponsibilitiesAttention to all Performance Marketers who is up for a business challenge involving a large consumer pool! As part of the business ongoing digital transformation journey, a senior leader with relevant experience is critical towards its ambition of a data-driven business. As a senior manager, you will be expected to partner with Heads of Marketing for ROI of channels, attribution methodologies like last click, multivariate, etc, media mix modeling, customer funnel analysis, test vs control methodologies, channel performance analytics (email, display advertising, social, paid search, affiliates, etc), lookalike targeting for DMP integration.  Partner with head of marketing to unlock opportunities to increase effectiveness by understanding customer behavior. In addition, you will be working closely with the Head of Digital Product on uncovering opportunities, understanding performance in behavioral data (search, clicks), pathing analysis, conversion measurement, recommendations on site/app design based on data, real-time personalization algorithms / approaches, customer journey analytics across multiple touchpoints, customer contact strategies / decision engine design","RequirementsTo be successful, you should have the following qualities:  Experience in working with or directing large volumes of consumer data in the area of customer analytics  Experience with all performance marketing approaches across multiple dimensions:  SEO, SEM, multi-channel attribution, test-vs-control setups, ROI analysis, media mix modelling, etc. Experience with DMP usage and applications along with look-a-like modelling-based targeting for customer acquisition Experience analyzing campaign measurement methods across all steps in the response funnel Experience in customer journey analytics throughout digital properties using both structured and unstructured data Ability to link analytical techniques and framework to business goals and/or customer experience Experience in customer journey analytics throughout digital properties using both structured and unstructured data Ability to link analytical techniques and framework to business goals and/or customer experience  EA Reg No: R1110425 Company Reg No: 201131609D EA Licence No: 11C4684  ",Senior Management,Permanent,Marketing / Public Relations ,
520,GRABTAXI HOLDINGS PTE. LTD.,"Manager  /  Senior Manager, Regional Marketing (GrabWheels)","$10,000to$13,500","Roles & ResponsibilitiesGet to know our Team:   Be part of the new founding team of Grab’s new escooter-sharing platform, helping to drive forward an innovative mobility solution that is part of Grab’s overall business.   We’re a lean team of creative, data-driven and strategic thinkers, in the service of shaping the Grab brand into a loveable powerhouse in SE Asia.   We’re guardians of the Grab positioning and voice and are also responsible for campaigns / initiatives that build a consistent yet locally relevant brand regionally.     The day-to-day activities:   Lead the regional marketing for Grabwheels across markets ​   Drive go-to-market strategy for GrabWheels’ expansion throughout Southeast Asia   Work closely with country marketing teams to plan and develop marketing strategies in order to achieve targets   Manage reporting and analysis across campaigns, using data to drive better campaigns through a test and learn approach   Leverage insights around different scooter use cases to drive a compelling communications narrative for GrabWheels across the region   Build messaging narratives and acquisition strategies for growing usage demand for GrabWheels scooters   Put in place customer-centric and behavioral-based marketing programs that drive frequency and retention   Work with our marketing analytics and consumer research teams to drive further insight into how consumers are using our GrabWheels platform across the region.   Manage the overall budget for GrabWheels marketing regionally   Analyze marketing spend efficiency across markets and make recommendations for future spend allocation   Lead and develop both digital online and offline activation marketing strategies;   Liaising with a wide range of stakeholders within and beyond GrabWheels, including product / tech teams, business development team, analysts, designers and business heads   Monitor campaigns against KPI’s, and to be fully aware of trends and analytics.  ","RequirementsThe must haves:   Minimum 5 years of experience in marketing.   Bachelor’s degree in business administration, marketing, or other advertising subjects required.   Good Knowledge and use of current advertising tools and channels.   Have strong all-around knowledge of online marketing landscape.   Excellent communication skills with the ability to articulate clearly in both written and spoken English.   Impeccable organization skills and attention to detail.   Able to work independently and willingness to roll up your sleeves to get the job done.   Passion for working across cultures and geographies.   Ability to analyse reports and communicate findings.   Excellent organizational, project management and time management skills.   Outstanding analytical skills and data-driven approach.   Ability to multitask, meet deadlines and thrive in a fast-paced environment.   Experience with startup environment is desired.  ",Manager,Full Time,Others,"OUE DOWNTOWN, 6 SHENTON WAY 068809"
521,GRABTAXI HOLDINGS PTE. LTD.,"Manager  /  Senior Manager, Regional Marketing (GrabWheels)","$8,500to$12,500","Roles & ResponsibilitiesGet to know our Team:   Be part of the new founding team of Grab’s new escooter-sharing platform, helping to drive forward an innovative mobility solution that is part of Grab’s overall business.   We’re a lean team of creative, data-driven and strategic thinkers, in the service of shaping the Grab brand into a loveable powerhouse in SE Asia.   We’re guardians of the Grab positioning and voice and are also responsible for campaigns / initiatives that build a consistent yet locally relevant brand regionally.     The day-to-day activities:   Lead the regional marketing for Grabwheels across markets ​   Drive go-to-market strategy for GrabWheels’ expansion throughout Southeast Asia   Work closely with country marketing teams to plan and develop marketing strategies in order to achieve targets   Manage reporting and analysis across campaigns, using data to drive better campaigns through a test and learn approach   Leverage insights around different scooter use cases to drive a compelling communications narrative for GrabWheels across the region   Build messaging narratives and acquisition strategies for growing usage demand for GrabWheels scooters   Put in place customer-centric and behavioral-based marketing programs that drive frequency and retention   Work with our marketing analytics and consumer research teams to drive further insight into how consumers are using our GrabWheels platform across the region.   Manage the overall budget for GrabWheels marketing regionally   Analyze marketing spend efficiency across markets and make recommendations for future spend allocation   Lead and develop both digital online and offline activation marketing strategies;   Liaising with a wide range of stakeholders within and beyond GrabWheels, including product / tech teams, business development team, analysts, designers and business heads   Monitor campaigns against KPI’s, and to be fully aware of trends and analytics.  ","RequirementsThe must haves:   Minimum 5 years of experience in marketing.   Bachelor’s degree in business administration, marketing, or other advertising subjects required.   Good Knowledge and use of current advertising tools and channels.   Have strong all-around knowledge of online marketing landscape.   Excellent communication skills with the ability to articulate clearly in both written and spoken English.   Impeccable organization skills and attention to detail.   Able to work independently and willingness to roll up your sleeves to get the job done.   Passion for working across cultures and geographies.   Ability to analyse reports and communicate findings.   Excellent organizational, project management and time management skills.   Outstanding analytical skills and data-driven approach.   Ability to multitask, meet deadlines and thrive in a fast-paced environment.   Experience with startup environment is desired.  ",Manager,Full Time,Others,"OUE DOWNTOWN, 6 SHENTON WAY 068809"
522,GRABTAXI HOLDINGS PTE. LTD.,Regional Marketing Manager,"$7,000to$10,000","Roles & ResponsibilitiesGet to know our Team:   Be part of the new founding team of Grab’s new business platform, helping to drive forward an innovative solution that is part of Grab’s overall business.   We’re a lean team of creative, data-driven and strategic thinkers, shaping the Grab brand into a loveable powerhouse in SE Asia.   We’re guardians of the Grab brand and represent the voice of the customer   We're responsible for marketing campaigns/initiatives that build consistent yet locally-relevant brand regionally.     The day-to-day activities:   Drive Go-To-Market strategy for new business expansion throughout Southeast Asia   Collaborate with in-country marketing teams to plan and develop marketing strategies to meet key business metrics.   Manage reporting and analysis across campaigns, using data to drive better campaigns through a test and learn approach   Monitor campaigns against KPI’s, and to be fully aware of trends and analytics.   Leverage insights around different use cases to drive a compelling communications narrative across the region   Build messaging narratives and acquisition strategies for growing usage demand of the business   Put in place customer-centric and behavioral-based marketing programs that drive frequency and retention   Work with our marketing analytics and consumer research teams to drive further consumer behavior insights   Manage overall marketing budget regionally   Analyze marketing spend efficiency across markets and provide recommendations for future spend allocation   Lead and develop both online and offline marketing activation strategies;   Liaise with wide range of stakeholders within and beyond business vertical teams, including product / tech, business development, data analysts, designers and business heads  ","RequirementsThe must haves:   Minimum 7 years of experience in overall marketing or similar field.   Bachelor’s degree in business administration, marketing, or other advertising subjects required.   Good knowledge and use of current media tools and channels.   Strong all-around knowledge of online marketing landscape.   Excellent communication skills with ability to articulate clearly in both written and spoken English.   Impeccable organization skills and attention to detail.   Able to work independently and willingness to roll up your sleeves to get the job done.   Passion for working across cultures and geographies.   Ability to analyse reports and communicate findings.   Excellent organizational, project management and time management skills.   Outstanding analytical skills and data-driven approach.   Ability to multitask, meet deadlines and thrive in a fast-paced environment.   Experience with startup environment is desired.  ",Manager,Full Time,Others,"OUE DOWNTOWN, 6 SHENTON WAY 068809"
